Time,Source,URI,"Found on URI","Found on level",Tags,Message
"2024-06-20 15:18:00.409118","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",http://contao5.test/client,,0,,"Forwarded to the search indexer. Was indexed successfully."
"2024-06-20 15:18:00.696710","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",http://www.aboutcookies.org/Default.aspx?page=1,http://contao5.test/client,1,,"Did not index because it was not part of the base URI collection."
"2024-06-20 15:18:01.039041","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",http://contao5.test/,http://contao5.test/client,1,icon,"Forwarded to the search indexer. Was indexed successfully."
"2024-06-20 15:18:01.457438","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",http://contao5.test/recherche,http://contao5.test/client,1,,"Forwarded to the search indexer. Was indexed successfully."
"2024-06-20 15:18:01.576933","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",http://contao5.test/actualites,http://contao5.test/client,1,,"Forwarded to the search indexer. Was indexed successfully."
"2024-06-20 15:18:01.690088","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",http://contao5.test/contact,http://contao5.test/client,1,,"Forwarded to the search indexer. Was indexed successfully."
"2024-06-20 15:18:01.867744","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",http://contao5.test/kitchen-sink,http://contao5.test/client,1,,"Forwarded to the search indexer. Was indexed successfully."
"2024-06-20 15:18:02.075689","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",http://rocksolidthemes.com/de/contao/themes/oneo,http://contao5.test/client,1,icon,"Did not index because it was not part of the base URI collection."
"2024-06-20 15:18:02.386476","Terminal42\Escargot\Escargot",http://contao5.test/about-me,http://contao5.test/client,1,,"Exception of type ""Symfony\Component\HttpClient\Exception\ClientException"" occurred: HTTP/1.1 404 Not Found returned for ""http://contao5.test/about-me""."
"2024-06-20 15:18:02.386687","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",http://contao5.test/about-me,http://contao5.test/client,1,,"Broken link! HTTP Status Code: 404."
"2024-06-20 15:18:02.499923","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",http://contao5.test/mentions-legales,http://contao5.test/client,1,,"Forwarded to the search indexer. Was indexed successfully."
"2024-06-20 15:18:02.605928","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",https://www.bioweb.fr/,http://contao5.test/client,1,,"Did not index because it was not part of the base URI collection."
"2024-06-20 15:18:02.704153","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",http://contao5.test/actualite/premium-themes-extenstions-created-to-perfectly-fit-together,http://contao5.test/actualites,2,,"Forwarded to the search indexer. Was indexed successfully."
"2024-06-20 15:18:02.791251","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",http://contao5.test/actualite/fully-responsive-retina-ready-and-made-to-fit-your-needs,http://contao5.test/actualites,2,,"Forwarded to the search indexer. Was indexed successfully."
"2024-06-20 15:18:02.888074","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",http://contao5.test/actualite/use-the-theme-assistant-to-create-individual-designs-without-coding,http://contao5.test/actualites,2,,"Forwarded to the search indexer. Was indexed successfully."
"2024-06-20 15:18:02.989172","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",http://contao5.test/actualite/lovingly-hand-coded-fast-reliable-and-always-up-to-date,http://contao5.test/actualites,2,,"Forwarded to the search indexer. Was indexed successfully."
"2024-06-20 15:18:03.072001","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",http://contao5.test/actualites?page_n199=2,http://contao5.test/actualites,2,,"Forwarded to the search indexer. Was indexed successfully."
